w_signal	w_4b_cut	seed	signal_ratio	noise_scale
0.51356906	0.35000000000000003	1	0.03	0.2
0.5874338	0.4	1	0.03	0.2
0.64674234	0.45	1	0.03	0.2
0.71276706	0.5	1	0.03	0.2
0.77010596	0.55	1	0.03	0.2
0.83060163	0.6000000000000001	1	0.03	0.2
0.8682857	0.6500000000000001	1	0.03	0.2
0.8889922	0.7000000000000001	1	0.03	0.2
0.9159493	0.7500000000000001	1	0.03	0.2
0.93823725	0.8	1	0.03	0.2
0.96001446	0.8500000000000001	1	0.03	0.2
0.9917372	0.9000000000000001	1	0.03	0.2
0.9966963	0.9500000000000001	1	0.03	0.2
0.09604123	0.05	1	0.03	0.15
0.1621274	0.1	1	0.03	0.15
0.22893706	0.15000000000000002	1	0.03	0.15
0.3108395	0.2	1	0.03	0.15
0.38096654	0.25	1	0.03	0.15
0.44775724	0.3	1	0.03	0.15
0.51847935	0.35000000000000003	1	0.03	0.15
0.59084594	0.4	1	0.03	0.15
0.65196013	0.45	1	0.03	0.15
0.7159726	0.5	1	0.03	0.15
0.77506083	0.55	1	0.03	0.15
0.81831527	0.6000000000000001	1	0.03	0.15
0.86483526	0.6500000000000001	1	0.03	0.15
0.8975679	0.7000000000000001	1	0.03	0.15
0.91265726	0.7500000000000001	1	0.03	0.15
0.93286544	0.8	1	0.03	0.15
0.9598715	0.8500000000000001	1	0.03	0.15
0.98497176	0.9000000000000001	1	0.03	0.15
0.9966963	0.9500000000000001	1	0.03	0.15
0.07033512	0.05	2	0.03	0.1
0.18481457	0.1	2	0.03	0.1
0.2964663	0.15000000000000002	2	0.03	0.1
0.3765153	0.2	2	0.03	0.1
0.43686184	0.25	2	0.03	0.1
0.4923335	0.3	2	0.03	0.1
0.55138123	0.35000000000000003	2	0.03	0.1
0.60362625	0.4	2	0.03	0.1
0.6572559	0.45	2	0.03	0.1
0.71369386	0.5	2	0.03	0.1
0.762192	0.55	2	0.03	0.1
0.79401565	0.6000000000000001	2	0.03	0.1
0.8487682	0.6500000000000001	2	0.03	0.1
0.88157195	0.7000000000000001	2	0.03	0.1
0.9111849	0.7500000000000001	2	0.03	0.1
0.94238085	0.8	2	0.03	0.1
0.9632687	0.8500000000000001	2	0.03	0.1
0.9891322	0.9000000000000001	2	0.03	0.1
1.0000002	0.9500000000000001	2	0.03	0.1
0.06842001	0.05	2	0.03	0.05
0.17466071	0.1	2	0.03	0.05
0.28105095	0.15000000000000002	2	0.03	0.05
0.36385354	0.2	2	0.03	0.05
0.46824667	0.25	2	0.03	0.05
0.53388435	0.3	2	0.03	0.05
0.5867118	0.35000000000000003	2	0.03	0.05
0.62863564	0.4	2	0.03	0.05
0.6793015	0.45	2	0.03	0.05
0.72151786	0.5	2	0.03	0.05
0.75635654	0.55	2	0.03	0.05
0.8033955	0.6000000000000001	2	0.03	0.05
0.83709794	0.6500000000000001	2	0.03	0.05
0.8741241	0.7000000000000001	2	0.03	0.05
0.9009392	0.7500000000000001	2	0.03	0.05
0.93222153	0.8	2	0.03	0.05
0.95654476	0.8500000000000001	2	0.03	0.05
0.9811354	0.9000000000000001	2	0.03	0.05
0.99839044	0.9500000000000001	2	0.03	0.05
0.028139608	0.05	2	0.03	0.2
0.09263613	0.1	2	0.03	0.2
0.15019843	0.15000000000000002	2	0.03	0.2
0.20163807	0.2	2	0.03	0.2
0.28536397	0.25	2	0.03	0.2
0.3569569	0.3	2	0.03	0.2
0.44181588	0.35000000000000003	2	0.03	0.2
0.49834165	0.4	2	0.03	0.2
0.5634128	0.45	2	0.03	0.2
0.6395214	0.5	2	0.03	0.2
0.70715594	0.55	2	0.03	0.2
0.77287215	0.6000000000000001	2	0.03	0.2
0.84333736	0.6500000000000001	2	0.03	0.2
0.89059424	0.7000000000000001	2	0.03	0.2
0.9309599	0.7500000000000001	2	0.03	0.2
0.96675175	0.8	2	0.03	0.2
0.98139757	0.8500000000000001	2	0.03	0.2
0.9951652	0.9000000000000001	2	0.03	0.2
1.0000007	0.9500000000000001	2	0.03	0.2
0.05762148	0.05	2	0.03	0.15
0.14057398	0.1	2	0.03	0.15
0.21616548	0.15000000000000002	2	0.03	0.15
0.30285314	0.2	2	0.03	0.15
0.36327478	0.25	2	0.03	0.15
0.431338	0.3	2	0.03	0.15
0.48825222	0.35000000000000003	2	0.03	0.15
0.5400667	0.4	2	0.03	0.15
0.6100757	0.45	2	0.03	0.15
0.669761	0.5	2	0.03	0.15
0.7209056	0.55	2	0.03	0.15
