w_signal,w_4b_cut,seed,signal_ratio,n_3b,noise_scale
0.8184757,0.6000000000000001,3,0.01,100000,3.0
0.875493,0.65,3,0.01,100000,3.0
0.9229797,0.7000000000000001,3,0.01,100000,3.0
0.95408326,0.75,3,0.01,100000,3.0
0.97712964,0.8,3,0.01,100000,3.0
0.9896081,0.8500000000000001,3,0.01,100000,3.0
0.9947156,0.9,3,0.01,100000,3.0
0.99827117,0.9500000000000001,3,0.01,100000,3.0
1.0,1.0,3,0.01,100000,3.0
0.0,0.0,4,0.01,100000,1.0
0.0,0.05,4,0.01,100000,1.0
0.009806419,0.1,4,0.01,100000,1.0
0.015260146,0.15000000000000002,4,0.01,100000,1.0
0.029626546,0.2,4,0.01,100000,1.0
0.051155947,0.25,4,0.01,100000,1.0
0.067052774,0.30000000000000004,4,0.01,100000,1.0
0.087040335,0.35000000000000003,4,0.01,100000,1.0
0.101099685,0.4,4,0.01,100000,1.0
0.12146855,0.45,4,0.01,100000,1.0
0.1559392,0.5,4,0.01,100000,1.0
0.17963463,0.55,4,0.01,100000,1.0
0.2213592,0.6000000000000001,4,0.01,100000,1.0
0.27543825,0.65,4,0.01,100000,1.0
0.33176628,0.7000000000000001,4,0.01,100000,1.0
0.40929767,0.75,4,0.01,100000,1.0
0.49476817,0.8,4,0.01,100000,1.0
0.61916953,0.8500000000000001,4,0.01,100000,1.0
0.77788067,0.9,4,0.01,100000,1.0
0.9272288,0.9500000000000001,4,0.01,100000,1.0
1.0,1.0,4,0.01,100000,1.0
0.0,0.0,4,0.01,100000,2.0
0.0021347892,0.05,4,0.01,100000,2.0
0.0021347892,0.1,4,0.01,100000,2.0
0.012548666,0.15000000000000002,4,0.01,100000,2.0
0.028626012,0.2,4,0.01,100000,2.0
0.049084973,0.25,4,0.01,100000,2.0
0.084452674,0.30000000000000004,4,0.01,100000,2.0
0.15165175,0.35000000000000003,4,0.01,100000,2.0
0.21280079,0.4,4,0.01,100000,2.0
0.31355184,0.45,4,0.01,100000,2.0
0.41770908,0.5,4,0.01,100000,2.0
0.51170206,0.55,4,0.01,100000,2.0
0.5787619,0.6000000000000001,4,0.01,100000,2.0
0.6702289,0.65,4,0.01,100000,2.0
0.74685806,0.7000000000000001,4,0.01,100000,2.0
0.80899704,0.75,4,0.01,100000,2.0
0.8655566,0.8,4,0.01,100000,2.0
0.9098427,0.8500000000000001,4,0.01,100000,2.0
0.94951224,0.9,4,0.01,100000,2.0
0.9886946,0.9500000000000001,4,0.01,100000,2.0
1.0,1.0,4,0.01,100000,2.0
0.0,0.0,4,0.01,100000,3.0
0.0021347892,0.05,4,0.01,100000,3.0
0.0021347892,0.1,4,0.01,100000,3.0
0.010635416,0.15000000000000002,4,0.01,100000,3.0
0.021031732,0.2,4,0.01,100000,3.0
0.044150464,0.25,4,0.01,100000,3.0
0.09826633,0.30000000000000004,4,0.01,100000,3.0
0.1725602,0.35000000000000003,4,0.01,100000,3.0
0.32438233,0.4,4,0.01,100000,3.0
0.46619898,0.45,4,0.01,100000,3.0
0.6074335,0.5,4,0.01,100000,3.0
0.71522236,0.55,4,0.01,100000,3.0
0.81770635,0.6000000000000001,4,0.01,100000,3.0
0.86622506,0.65,4,0.01,100000,3.0
0.90814155,0.7000000000000001,4,0.01,100000,3.0
0.9307407,0.75,4,0.01,100000,3.0
0.94803524,0.8,4,0.01,100000,3.0
0.9609111,0.8500000000000001,4,0.01,100000,3.0
0.9872027,0.9,4,0.01,100000,3.0
0.99449664,0.9500000000000001,4,0.01,100000,3.0
1.0,1.0,4,0.01,100000,3.0
0.0,0.0,5,0.01,100000,1.0
0.0036791747,0.05,5,0.01,100000,1.0
0.01260537,0.1,5,0.01,100000,1.0
0.02349856,0.15000000000000002,5,0.01,100000,1.0
