hash	concentration_SR	size_SR
241020_203616_881105_wHOqo5	0.0690627321600914	0.04967644
241020_203717_974958_tL4sCs	0.48694849014282227	0.05024166
241020_203742_893751_dIkEWB	0.0	0.05020314
241020_204333_558183_uEhHkQ	0.5801333785057068	0.049342472
241020_204447_547831_04Rp51	0.12441768497228622	0.04984832
241020_204506_387782_AdSayI	0.0	0.05013007
241020_205058_689856_TPpNLS	0.501170814037323	0.04953209
241020_205212_871381_UEpzqM	0.030980654060840607	0.049504235
241020_205237_091574_lcM80B	0.0	0.049927797
241020_205826_129328_JuIFTE	0.001749741961248219	0.04963259
241020_205944_946592_KHe7km	0.08284308761358261	0.049898144
241020_210003_645296_AQoTOs	0.0	0.049435075
241020_210542_681434_vLW6E5	0.31858718395233154	0.050177354
241020_210717_958994_EQzEpl	0.047011975198984146	0.050252907
241020_210729_702447_atV0vm	0.0	0.04958451
241020_211257_820845_nvPh0M	0.7134681940078735	0.050276227
241020_211447_768512_futlkm	0.5247929096221924	0.04981237
241020_211502_973738_hvgZI0	0.0	0.049886417
241020_212020_073174_2La43O	0.28119736909866333	0.04947329
241020_212209_816270_YDknkO	0.6434274315834045	0.050182737
241020_212233_647165_ok3agP	0.0	0.04924163
241020_212734_510005_uhwMin	0.4600418508052826	0.050384976
241020_212936_650893_KVobbL	0.7422723770141602	0.049171846
241020_213000_511153_ZehAlx	0.0	0.049903676
241020_213454_010468_PUpWL2	0.6651902794837952	0.049156368
241020_213703_901746_mzgiIg	0.13007386028766632	0.049925856
241020_213727_208635_MwOyrD	0.0	0.04992974
241020_214218_139785_KIjMXq	0.45518526434898376	0.049319554
241020_214433_256171_Db0XW6	0.29588747024536133	0.049833838
241020_214456_814446_eAZZoL	0.0	0.049503468
241020_214939_364833_2xScD8	0.3459516167640686	0.049878027
241020_215158_202019_eO1P3t	0.024594327434897423	0.04972544
241020_215234_588266_QjRwLH	0.0	0.04977709
241020_215657_359437_AwEuCk	0.2085658609867096	0.049968965
241020_215925_868450_lRlf5d	0.5925132036209106	0.05008537
241020_220008_739162_1UCxN7	0.0	0.050365876
241020_220423_858892_hwv0Wh	0.30185216665267944	0.050216146
241020_220750_457480_ApwJmB	0.1589650958776474	0.049674943
241020_220830_482214_OiY4g6	0.0	0.049742684
241020_221246_886705_BXEw59	0.32061564922332764	0.049344398
241020_221622_548086_RbjpaR	0.5278055667877197	0.04987319
241020_221701_612350_0pD734	0.0	0.05003113
241020_222043_326475_zbjraO	0.6302295327186584	0.04929228
241020_222418_015109_nGim5L	0.6593774557113647	0.049178302
241020_222443_498251_FMviS5	0.0	0.050085038
241020_222853_363064_UtAW2z	0.5640284419059753	0.049099863
241020_223238_773367_YiJOH7	0.08245465904474258	0.050402768
241020_223308_584696_8qTdRX	0.0	0.04913751
241020_223716_568013_DKHdGT	0.10881173610687256	0.0501617
241020_224054_057077_wIH94f	0.26153457164764404	0.050366145
241020_224130_644844_x6FDAr	0.0	0.049473308
241020_224517_769009_R0frDt	0.13897928595542908	0.04918737
241020_224822_487691_COmxbE	0.06790792942047119	0.050734974
241020_224902_320361_lnAwq3	0.0	0.04978705
241020_225232_060999_jxr9M3	0.20207186043262482	0.050521474
241020_225546_306205_ulhNyQ	0.20105032622814178	0.04929176
241020_225625_815822_gmii10	0.0	0.05014268
241020_225951_263558_prNiSc	0.1883837729692459	0.049481075
241020_230315_069734_8Ocvbe	0.14427056908607483	0.050168015
241020_230357_269184_qt8CCs	0.0	0.04934597
241020_230709_275077_gt3Txd	0.10668377578258514	0.05012253
241020_231038_534026_mN0YEO	0.2841213047504425	0.049027674
241020_231126_055442_sqFqew	0.0	0.04913276
241020_231433_707842_Dl2MRC	0.12151456624269485	0.04997286
241020_231809_050326_9v6IPj	0.30855005979537964	0.04918328
241020_231859_564319_gEalR1	0.0	0.049291175
241020_232159_096860_BU73y4	0.09661431610584259	0.05049611
241020_232611_377949_wwbx5i	0.02905145101249218	0.050540064
241020_232650_489022_v6jZJe	0.0	0.050445795
241020_232940_842000_fWOxd1	0.14450079202651978	0.0493175
241020_233413_644856_2ir7O8	0.1339651346206665	0.04958915
241020_233446_460755_V2JiXe	0.0	0.04935336
241020_233733_787174_VOMDVf	0.08901705592870712	0.049861003
241020_234225_783986_pQmtT2	0.13975529372692108	0.050593197
241020_234255_011710_32fZQc	0.0	0.050011884
241020_234453_465153_YDRNlq	0.08115582168102264	0.04956769
241020_235001_348875_6RjELJ	0.004082238767296076	0.04951676
241020_235030_239729_D7Gtjd	0.0	0.04914745
241020_235216_438166_MM205k	0.15527430176734924	0.050078936
241020_235825_319065_9AF3iM	0.12273001670837402	0.049531944
241020_235843_687674_4jT9Oi	0.0	0.050226737
241021_000021_231129_oOaPX5	0.1423579603433609	0.049773443
241021_000636_548168_29IdM5	0.5599057674407959	0.049564354
241021_000700_173166_8ASwRF	0.0	0.049860157
241024_003218_057203_Dfbi7J	0.0	0.049414285
