w_signal	w_4b_cut	seed	signal_ratio	n_3b
0.83663994	0.55	2	0.01	100000
0.87724274	0.6000000000000001	2	0.01	100000
0.9186403	0.6500000000000001	2	0.01	100000
0.9331599	0.7000000000000001	2	0.01	100000
0.9394679	0.7500000000000001	2	0.01	100000
0.95997685	0.8	2	0.01	100000
0.973386	0.8500000000000001	2	0.01	100000
0.9930307	0.9000000000000001	2	0.01	100000
1.0	0.9500000000000001	2	0.01	100000
0.29017773	0.05	2	0.02	100000
0.39246753	0.1	2	0.02	100000
0.4839591	0.15000000000000002	2	0.02	100000
0.5285423	0.2	2	0.02	100000
0.5978074	0.25	2	0.02	100000
0.64554954	0.3	2	0.02	100000
0.6875857	0.35000000000000003	2	0.02	100000
0.7394926	0.4	2	0.02	100000
0.7705405	0.45	2	0.02	100000
0.80527735	0.5	2	0.02	100000
0.8461145	0.55	2	0.02	100000
0.86327237	0.6000000000000001	2	0.02	100000
0.89041865	0.6500000000000001	2	0.02	100000
0.917229	0.7000000000000001	2	0.02	100000
0.93102074	0.7500000000000001	2	0.02	100000
0.95731723	0.8	2	0.02	100000
0.9705257	0.8500000000000001	2	0.02	100000
0.9967859	0.9000000000000001	2	0.02	100000
1.0000007	0.9500000000000001	2	0.02	100000
0.034193896	0.05	2	0.03	100000
0.10048057	0.1	2	0.03	100000
0.17819771	0.15000000000000002	2	0.03	100000
0.2799375	0.2	2	0.03	100000
0.36683905	0.25	2	0.03	100000
0.40306753	0.3	2	0.03	100000
0.46123993	0.35000000000000003	2	0.03	100000
0.5381606	0.4	2	0.03	100000
0.5979919	0.45	2	0.03	100000
0.64205825	0.5	2	0.03	100000
0.7153082	0.55	2	0.03	100000
0.7840244	0.6000000000000001	2	0.03	100000
0.8237743	0.6500000000000001	2	0.03	100000
0.86160874	0.7000000000000001	2	0.03	100000
0.9056436	0.7500000000000001	2	0.03	100000
0.94745827	0.8	2	0.03	100000
0.97313297	0.8500000000000001	2	0.03	100000
0.98633236	0.9000000000000001	2	0.03	100000
1.0000004	0.9500000000000001	2	0.03	100000
0.09054162	0.05	2	0.04	100000
0.2323614	0.1	2	0.04	100000
0.34508085	0.15000000000000002	2	0.04	100000
0.44475198	0.2	2	0.04	100000
0.52244705	0.25	2	0.04	100000
0.5822774	0.3	2	0.04	100000
0.63047457	0.35000000000000003	2	0.04	100000
0.6806387	0.4	2	0.04	100000
0.73263335	0.45	2	0.04	100000
0.7682109	0.5	2	0.04	100000
0.8141328	0.55	2	0.04	100000
0.8505335	0.6000000000000001	2	0.04	100000
0.87493765	0.6500000000000001	2	0.04	100000
0.91174436	0.7000000000000001	2	0.04	100000
0.9449647	0.7500000000000001	2	0.04	100000
0.96544045	0.8	2	0.04	100000
0.9826375	0.8500000000000001	2	0.04	100000
0.989686	0.9000000000000001	2	0.04	100000
0.99831206	0.9500000000000001	2	0.04	100000
0.575013	0.05	2	0.05	100000
0.73190814	0.1	2	0.05	100000
0.7890701	0.15000000000000002	2	0.05	100000
0.83322024	0.2	2	0.05	100000
0.86236453	0.25	2	0.05	100000
0.87617844	0.3	2	0.05	100000
0.88705313	0.35000000000000003	2	0.05	100000
0.9017226	0.4	2	0.05	100000
0.91531825	0.45	2	0.05	100000
0.9248886	0.5	2	0.05	100000
0.93572354	0.55	2	0.05	100000
0.9452935	0.6000000000000001	2	0.05	100000
0.9586754	0.6500000000000001	2	0.05	100000
0.9693205	0.7000000000000001	2	0.05	100000
0.97573733	0.7500000000000001	2	0.05	100000
0.9865837	0.8	2	0.05	100000
0.99047726	0.8500000000000001	2	0.05	100000
0.99452436	0.9000000000000001	2	0.05	100000
0.99999976	0.9500000000000001	2	0.05	100000
0.024609467	0.05	3	0.01	100000
0.10821938	0.1	3	0.01	100000
0.12509345	0.15000000000000002	3	0.01	100000
0.22389004	0.2	3	0.01	100000
0.28074107	0.25	3	0.01	100000
0.35402375	0.3	3	0.01	100000
0.39461416	0.35000000000000003	3	0.01	100000
0.48187095	0.4	3	0.01	100000
0.54442734	0.45	3	0.01	100000
0.5825891	0.5	3	0.01	100000
0.66998124	0.55	3	0.01	100000
0.73185676	0.6000000000000001	3	0.01	100000
0.78641397	0.6500000000000001	3	0.01	100000
0.84771687	0.7000000000000001	3	0.01	100000
0.9100862	0.7500000000000001	3	0.01	100000
0.9325938	0.8	3	0.01	100000
0.97869533	0.8500000000000001	3	0.01	100000
1.0000002	0.9000000000000001	3	0.01	100000
1.0000002	0.9500000000000001	3	0.01	100000
0.05973363	0.05	3	0.02	100000
0.100529216	0.1	3	0.02	100000
0.15894315	0.15000000000000002	3	0.02	100000
0.23028448	0.2	3	0.02	100000
0.28780523	0.25	3	0.02	100000
0.3718851	0.3	3	0.02	100000
0.4637029	0.35000000000000003	3	0.02	100000
0.54148203	0.4	3	0.02	100000
0.60635185	0.45	3	0.02	100000
0.65778136	0.5	3	0.02	100000
0.72078353	0.55	3	0.02	100000
0.75122917	0.6000000000000001	3	0.02	100000
0.81911415	0.6500000000000001	3	0.02	100000
0.88155144	0.7000000000000001	3	0.02	100000
0.89414036	0.7500000000000001	3	0.02	100000
0.9312165	0.8	3	0.02	100000
0.9639123	0.8500000000000001	3	0.02	100000
0.9840494	0.9000000000000001	3	0.02	100000
0.9960568	0.9500000000000001	3	0.02	100000
0.12302622	0.05	3	0.03	100000
0.2092407	0.1	3	0.03	100000
0.28965908	0.15000000000000002	3	0.03	100000
0.3673482	0.2	3	0.03	100000
0.4147201	0.25	3	0.03	100000
0.49294615	0.3	3	0.03	100000
0.5609674	0.35000000000000003	3	0.03	100000
